iter	Passed	Remaining
0	0	53
1	1	50
2	1	51
3	1	47
4	2	46
5	2	44
6	3	44
7	3	43
8	4	41
9	4	41
10	5	40
11	5	40
12	5	39
13	6	38
14	6	38
15	7	37
16	7	37
17	7	36
18	8	36
19	8	35
20	9	35
21	10	35
22	10	36
23	11	36
24	11	35
25	12	35
26	12	34
27	13	34
28	13	33
29	14	33
30	14	33
31	15	32
32	16	33
33	17	33
34	28	53
35	29	52
36	29	50
37	30	49
38	37	58
39	38	57
40	38	55
41	39	54
42	39	52
43	40	50
44	40	49
45	40	48
46	41	46
47	41	45
48	42	44
49	42	42
50	43	41
51	43	40
52	49	44
53	50	43
54	51	42
55	52	40
56	52	39
57	53	38
58	54	37
59	54	36
60	54	35
61	55	33
62	55	32
63	56	31
64	56	30
65	57	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	60	23
72	61	22
73	61	21
74	62	20
75	62	19
76	62	18
77	63	17
78	65	17
79	65	16
80	65	15
81	66	14
82	66	13
83	67	12
84	67	11
85	68	11
86	68	10
87	69	9
88	69	8
89	70	7
90	70	6
91	71	6
92	71	5
93	71	4
94	72	3
95	73	3
96	74	2
97	74	1
98	74	0
99	75	0
