iter	Passed	Remaining
0	0	927
1	1	855
2	2	827
3	3	808
4	3	795
5	4	785
6	5	792
7	6	785
8	7	799
9	8	794
10	8	788
11	9	783
12	10	777
13	11	774
14	11	779
15	12	776
16	13	774
17	14	769
18	14	765
19	15	765
20	16	766
21	17	758
22	17	760
23	18	758
24	19	758
25	20	761
26	21	758
27	21	755
28	22	752
29	23	750
30	24	754
31	24	750
32	25	749
33	26	748
34	27	746
35	27	744
36	28	743
37	29	740
38	30	743
39	30	742
40	31	740
41	32	738
42	33	736
43	34	739
44	34	737
45	35	735
46	36	736
47	37	735
48	37	734
49	38	733
50	39	732
51	40	731
52	40	729
53	41	730
54	42	729
55	43	728
56	44	728
57	44	727
58	45	725
59	46	725
60	47	726
61	48	726
62	48	727
63	49	726
64	50	725
65	51	723
66	51	722
67	52	721
68	53	720
69	54	721
70	55	721
71	55	720
72	56	719
73	57	718
74	58	716
75	58	715
76	59	714
77	60	715
78	61	715
79	62	713
80	62	710
81	63	708
82	63	706
83	64	704
84	65	702
85	65	700
86	66	700
87	67	698
88	68	696
89	68	694
90	69	692
91	70	691
92	70	689
93	71	687
94	72	686
95	73	689
96	73	688
97	74	687
98	75	684
99	75	682
100	76	680
101	77	679
102	77	677
103	78	677
104	79	675
105	79	673
106	80	672
107	81	670
108	81	668
109	82	667
110	83	666
111	83	664
112	84	663
113	85	663
114	86	663
115	87	663
116	87	662
117	88	660
118	88	658
119	89	657
120	90	655
121	91	655
122	91	654
123	92	653
124	93	651
125	93	650
126	94	648
127	95	647
128	95	646
129	96	644
130	97	644
131	97	643
132	98	641
133	99	640
134	100	641
135	100	640
136	101	639
137	102	638
138	103	638
139	103	637
140	104	636
141	105	634
142	105	631
143	106	630
144	106	629
145	107	627
146	107	626
147	108	626
148	109	625
149	110	624
150	110	623
151	111	620
152	111	619
153	112	618
154	113	618
155	114	617
156	114	617
157	115	616
158	116	616
159	117	616
160	117	613
161	118	612
162	119	611
163	119	610
164	121	612
165	121	611
166	122	611
167	123	610
168	123	609
169	124	608
170	125	608
171	126	606
172	127	608
173	127	606
174	128	604
175	128	603
176	129	602
177	130	601
178	130	600
179	131	599
180	132	597
181	132	597
182	133	596
183	134	595
184	134	592
185	135	591
186	135	590
187	136	589
188	137	588
189	137	587
190	138	588
191	139	587
192	140	585
193	140	584
194	141	582
195	141	580
196	141	578
197	142	577
198	142	575
199	143	573
200	143	571
201	144	571
202	145	570
203	145	569
204	146	568
205	146	566
206	147	565
207	148	564
208	148	563
209	149	561
210	150	561
211	150	560
212	151	559
213	151	558
214	152	556
215	152	554
216	153	553
217	153	551
218	154	550
219	154	548
220	155	548
221	156	546
222	156	546
223	157	545
224	157	543
225	158	541
226	158	540
227	159	539
228	159	538
229	160	536
230	160	535
231	161	533
232	161	532
233	162	530
234	162	529
235	163	528
236	163	526
237	164	526
238	164	524
239	165	523
240	165	522
241	166	520
242	166	518
243	167	517
244	167	516
245	167	514
246	168	512
247	168	511
248	168	509
249	169	507
250	169	506
251	170	506
252	170	504
253	171	503
254	172	503
255	172	502
256	173	501
257	174	500
258	174	498
259	174	497
260	175	495
261	175	494
262	176	493
263	176	491
264	177	491
265	177	490
266	178	490
267	178	488
268	179	488
269	180	487
270	180	486
271	181	485
272	181	483
273	182	482
274	182	481
275	183	481
276	184	480
277	184	479
278	185	478
279	186	478
280	186	477
281	187	476
282	187	475
283	188	474
284	188	473
285	189	472
286	190	472
287	190	471
288	191	471
289	191	469
290	192	469
291	193	468
292	193	467
293	194	466
294	194	465
295	195	464
296	195	462
297	196	462
298	196	461
299	197	460
300	198	460
301	198	459
302	199	459
303	199	457
304	200	456
305	200	455
306	201	454
307	202	454
308	202	453
309	203	452
310	203	451
311	204	451
312	205	450
313	205	449
314	206	448
315	206	447
316	207	447
317	208	446
318	208	445
319	209	445
320	210	444
321	210	444
322	211	443
323	212	442
324	212	442
325	213	441
326	214	440
327	214	440
328	215	439
329	216	439
330	216	438
331	217	437
332	218	437
